run,iteration,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,fitness,run_time_sec
1,1,0.02052714380526527,0.98031232800671,0.9294830662234154,0.9120577198293143,0.974513065178481,0.9053728328622952,64.25962556425506,30.433681640148293,12.63466669299185,
1,2,0.46070750557741014,0.0313375676109503,0.051900990026577,0.09285034607056586,0.12293861777851905,0.02154038694907634,193.68721656406794,199.73845233115912,11.131701595477958,
1,3,0.9968485216392031,0.9350588256868976,0.05104829374792286,0.14154520832521322,0.0605284403113997,0.7237640812566278,1.962958353736326,22.274382083440145,16.695565724498234,
1,4,0.97461160937105,0.10484783972201628,0.875055778893534,0.02503907256721416,0.9650316126177736,0.4970104198766665,154.14410095861982,4.544843032479079,23.84018200247219,
1,5,0.9737689921667214,0.1611327103484702,0.7123230449181239,0.948564361585176,0.13476056718173535,0.9893724492344629,105.38774655890066,182.02236665941177,16.781016848918114,
1,6,0.019570846097156425,0.05862724993828583,0.7644047416819955,0.7863533411054773,0.12826576934210643,0.035761184181010264,0.13532510152778343,67.3726740317272,14.250783806361198,
1,7,0.7184482323252895,0.974792293059064,0.10197319480373279,0.6654059637100621,0.9090367779007243,0.006848783944152337,40.563480498460855,187.13941178651476,11.300303764548756,
1,8,0.19911424678565542,0.06471195453731415,0.056005183399547076,0.08554736214575709,0.9025359025173724,0.7644185695308044,22.034891486711516,104.29573943509713,16.261778016053768,
1,9,0.12937021939788207,0.9224869640405772,0.789554277501393,0.021369450628766606,0.1410166748436501,0.01756872320435776,169.39194262788197,53.291280493823145,24.751712144005467,
1,10,0.10093401907008348,0.22389604441956468,0.1686827612526643,0.9597640890047179,0.41364050682726905,0.9208664422979044,199.2346589141522,26.37705673984827,15.315510814112034,
1,11,0.6860226167412505,0.9595585637665016,0.6385390704283521,0.13803938407388155,0.8223936493519751,0.9974101445614144,134.04369069028635,177.92660703673604,13.344751168057693,
